"symptom","keywords","description_1","medicine_1","doctor_consult_1","food_suggestions_1","lifestyle_suggestions_1","description_2","medicine_2","doctor_consult_2","food_suggestions_2","lifestyle_suggestions_2","description_3","medicine_3","doctor_consult_3","food_suggestions_3","lifestyle_suggestions_3"
"Diarrhea","diarrhea;loose motions;loose stool;stomach upset;frequent bowel;motion loose","Occasional loose stools that may be due to dietary changes.","Electral ORS;Lomotil;Zedott","Consult if diarrhea continues beyond 2 days or with fever","ORS solution;banana;rice water;curd;toast","Rest;frequent hand washing;avoid dairy initially","Persistent watery stools with abdominal cramps and weakness.","Racecadotril;Probiotics;Zinc supplements","Medical attention if signs of dehydration appear","BRAT diet;clear soups;coconut water;boiled potatoes","Oral rehydration;avoid outside food;proper sanitation","Severe diarrhea with dehydration signs like dry mouth and reduced urination.","IV fluids;antibiotics if infectious;hospital care","Emergency for blood in stool;high fever;severe dehydration","Only ORS and clear fluids initially;no solid foods","Complete rest;strict hygiene;medical supervision"
"Back Pain","back pain;backache;spinal pain;lower back pain;waist pain;kamar dard","Mild back discomfort often due to muscle strain or poor posture.","Iodex balm;Volini spray;Ibuprofen 400mg","Consult if pain radiates to legs or lasts over 1 week","Anti-inflammatory foods;calcium rich foods;vitamin D","Proper posture;avoid heavy lifting;gentle stretches","Persistent back pain affecting daily activities and mobility.","Diclofenac gel;Muscle relaxants;Combiflam","See doctor if numbness or weakness in legs develops","Green leafy vegetables;milk;eggs;fish","Core strengthening exercises;ergonomic chair;weight management","Severe debilitating back pain with leg weakness or bladder issues suggesting nerve compression.","Prescription painkillers;physiotherapy;injections","Immediate care for trauma or neurological symptoms","Calcium and vitamin D rich diet;avoid inflammatory foods","Restricted activity;physical therapy;possible surgery"
"Skin Rash","skin rash;redness;itching;skin irritation;allergy;heat rash;chicken skin","Mild skin irritation with redness and slight itching.","Calamine lotion;Cetaphil moisturizer;hydrocortisone cream","Consult if rash spreads rapidly or with fever","Cooling foods;cucumber;watermelon;coconut water","Cool showers;loose cotton clothes;avoid scratching","Spreading rash with intense itching and possible blister formation.","Allegra;Avil;Benadryl for allergies;antifungal creams","Medical attention if rash covers large area or with swelling","Antioxidant rich foods;vitamin C;zinc sources","Identify and avoid triggers;mild soaps;cool compresses","Severe widespread rash with fever;blisters or skin peeling indicating serious condition.","Oral steroids;strong antihistamines;antibiotics","Emergency for difficulty breathing or facial swelling","Hypoallergenic diet;avoid seafood;nuts;spicy foods","Medical supervision;isolation if infectious;hospital care"
"Fatigue","fatigue;tiredness;weakness;low energy;exhaustion;lethargy;no strength","General tiredness that improves with proper rest and nutrition.","Multivitamins;Iron supplements;Vitamin B complex","Consult if fatigue persists beyond 2 weeks despite rest","Energy boosting foods;nuts;dry fruits;whole grains","Regular sleep schedule;mild exercise;stress management","Persistent lack of energy affecting daily functioning and motivation.","Vitamin D supplements;Thyroid medication if needed","Medical evaluation needed to rule out underlying conditions","Iron-rich foods;protein;complex carbohydrates","Paced activities;yoga;meditation;avoid overexertion","Severe debilitating fatigue with other symptoms suggesting chronic illness or deficiency.","Prescription supplements;treatment for underlying cause","Specialist consultation for chronic fatigue syndrome","Balanced nutrient-dense diet;small frequent meals","Complete medical workup;lifestyle modification;therapy"
"Eye Strain","eye strain;tired eyes;computer vision;eye fatigue;dry eyes;vision blur","Mild eye discomfort from prolonged screen time or reading.","Artificial tears;I-Dew eye drops;cooling glasses","Consult if vision changes persist or pain develops","Vitamin A rich foods;carrots;leafy greens;berries","20-20-20 rule;proper lighting;screen distance","Persistent eye discomfort with headache and blurred vision affecting work.","Lubricating eye drops;anti-glare glasses;eye vitamins","Optometrist visit if symptoms interfere with daily activities","Omega-3 foods;fish;walnuts;eggs","Regular breaks;eye exercises;adjust screen brightness","Severe eye strain with persistent pain;double vision or light sensitivity.","Prescription eye drops;vision therapy;special glasses","Immediate care for sudden vision loss or severe pain","Antioxidant rich diet;stay hydrated","Reduce screen time significantly;proper ergonomics"
"Stress","stress;tension;anxiety;worry;mental pressure;work stress","Mild stress that is situational and manageable with self-care.","Brahmi;Ashwagandha;multivitamins","Consult if stress affects sleep or daily functioning","Complex carbs;nuts;dark chocolate;chamomile tea","Meditation;deep breathing;time management;hobbies","Persistent stress affecting mood;sleep and relationships significantly.","Anxiolytics if prescribed;Relaxation supplements","Therapist consultation if affecting quality of life","Magnesium rich foods;green tea;turmeric milk","Regular exercise;social support;work-life balance","Severe chronic stress with physical symptoms like palpitations or panic attacks.","Prescription medications;cognitive behavioral therapy","Psychiatrist consultation for severe anxiety or depression","Balanced regular meals;avoid caffeine;alcohol","Professional counseling;stress management program"
"Period Pain","period pain;menstrual cramps;period cramps;dysmenorrhea;stomach cramps","Mild menstrual cramps that are common during periods.","Meftal Spas;Drotin;hot water bottle","Consult if pain is severe or with heavy bleeding","Warm foods;ginger tea;dark chocolate;nuts","Heat application;gentle walks;rest;abdominal massage","Moderate to severe cramps affecting daily activities during menstruation.","Combiflam;Ibuprofen;antispasmodics","Gynecologist consultation if pain is debilitating","Calcium rich foods;leafy greens;flaxseeds","Yoga poses;regular exercise;stress reduction","Severe debilitating cramps with vomiting or fainting suggesting underlying conditions.","Stronger painkillers;hormonal treatment;prescription drugs","Immediate care for severe pain with heavy bleeding","Small frequent meals;avoid cold foods;iron-rich foods","Medical evaluation for endometriosis or PCOS"
"Asthma","asthma;breathing difficulty;wheezing;chest tightness;shortness breath","Mild breathing difficulty triggered by allergens or exercise.","Asthalin inhaler;Montair;Levolin","Consult if symptoms worsen or rescue inhaler used frequently","Anti-inflammatory foods;ginger;turmeric;honey","Avoid triggers;regular exercise;proper inhaler technique","Persistent wheezing and chest tightness affecting daily activities.","Combination inhalers;oral bronchodilators;steroids","Pulmonologist for persistent symptoms or frequent attacks","Omega-3 foods;vitamin C;magnesium rich foods","Peak flow monitoring;action plan;avoid smoke/dust","Severe asthma attack with significant breathing difficulty and blue lips.","Nebulization;emergency medications;hospital care","Emergency for unrelieved symptoms or speaking difficulty","Light easily digestible foods during attacks","Emergency action plan;avoid triggers completely"
"Migraine","migraine;severe headache;one-sided headache;aura;throbbing pain","Moderate headache with sensitivity to light or sound.","Migranil;Suminat;cold compress","Consult if headaches are frequent or severe","Regular meals;avoid triggers;ginger;magnesium foods","Dark quiet room;consistent sleep;stress management","Severe debilitating headache with nausea and visual disturbances.","Triptans;prescription painkillers;anti-nausea meds","Neurologist consultation for frequent migraines","Identify food triggers;stay hydrated;small meals","Lifestyle triggers management;regular routine","Status migrainosus with prolonged severe pain and vomiting.","Stronger medications;injections;hospital care","Emergency for worst headache ever or neurological symptoms","Liquid diet during attack;avoid aged cheese;chocolate","Complete rest;medical supervision;preventive treatment"
"Food Poisoning","food poisoning;stomach infection;vomiting;loose motions;contaminated food","Mild stomach upset after eating contaminated food.","Electral ORS;Emetrol;Digene","Consult if symptoms persist beyond 24 hours or with fever","Clear fluids;ORS;coconut water;light soups","Rest;frequent hand washing;avoid solid foods initially","Persistent vomiting and diarrhea with abdominal cramps and weakness.","Anti-emetics;Racecadotril;probiotics","Medical attention if signs of dehydration develop","BRAT diet;boiled vegetables;curd rice","Oral rehydration;proper food hygiene;rest","Severe food poisoning with high fever;blood in stool or dehydration.","IV fluids;antibiotics;hospitalization","Emergency for severe dehydration or persistent vomiting","Only clear liquids initially;gradual reintroduction of foods","Medical supervision;isolation;strict hygiene"
"Insomnia","insomnia;sleeplessness;can't sleep;difficulty sleeping;restless nights","Occasional difficulty falling or staying asleep.","Melatonin;Ashwagandha;warm milk","Consult if insomnia persists beyond 2 weeks","Warm milk;chamomile tea;bananas;almonds","Regular sleep schedule;dark room;no screens before bed","Persistent sleep problems affecting daytime functioning and mood.","Sleeping pills if prescribed;Relaxation techniques","Sleep specialist for chronic insomnia","Tryptophan rich foods;complex carbs;herbal teas","Sleep hygiene;relaxation exercises;comfortable bedding","Chronic severe insomnia with significant impact on health and daily life.","Prescription sleep medications;cognitive therapy","Psychiatrist consultation for underlying conditions","Avoid caffeine;heavy meals;alcohol before bed","Strict sleep routine;therapy;medical evaluation"
"UTI","urinary infection;UTI;burning urine;frequent urination;bladder infection","Mild burning sensation during urination with increased frequency.","Urix 500;Cranberry supplements;increase water intake","Consult if symptoms persist beyond 24 hours or with fever","Cranberry juice;barley water;coconut water;vitamin C","Good hygiene;cotton underwear;urinate after intercourse","Persistent urinary symptoms with discomfort and urgency.","Antibiotics as prescribed;Urinary alkalizers","Urologist for recurrent infections or severe symptoms","Water-rich foods;avoid irritants;probiotics","Adequate hydration;avoid holding urine;proper wiping","Severe UTI with high fever;back pain or blood in urine.","Strong antibiotics;hospital care for complicated UTI","Emergency for fever with chills or severe pain","Liquid diet;avoid spicy foods;coffee;alcohol","Complete medical treatment;follow-up essential"
"Allergies","allergies;allergic reaction;sneezing;itching;watery eyes;hay fever","Mild allergic symptoms to pollen;dust or specific triggers.","Allegra 120mg;Cetirizine;Avil","Consult if symptoms are severe or affect breathing","Quercetin rich foods;onions;apples;green tea","Avoid allergens;use air purifier;keep windows closed","Persistent allergic symptoms affecting quality of life and sleep.","Montair LC;Levocetirizine;nasal sprays","Allergist for identification of triggers and management","Anti-inflammatory foods;omega-3;local honey","Allergen avoidance;regular cleaning;mask wearing","Severe allergic reaction with breathing difficulty or swelling.","Epinephrine if anaphylaxis;steroids;emergency meds","Emergency for throat swelling or breathing problems","Elimination diet to identify triggers;avoid histamine foods","Carry emergency medication;medical alert bracelet"
"Joint Pain","joint pain;arthritis;knee pain;hip pain;shoulder pain;gathiya","Mild joint discomfort that may be weather-related or due to minor strain.","Iodex balm;Volini gel;Glucosamine supplements","Consult if pain persists or joints are swollen","Anti-inflammatory foods;turmeric;ginger;fish oil","Gentle exercises;weight management;proper posture","Persistent joint pain with stiffness affecting mobility.","Diclofenac;Combiflam;Chondroitin supplements","Rheumatologist for chronic or worsening pain","Calcium rich foods;vitamin D;berries;leafy greens","Low impact exercises;heat/cold therapy;assistive devices","Severe joint pain with swelling;redness or deformity.","Prescription NSAIDs;steroid injections;DMARDs","Orthopedic consultation for severe cases or trauma","Balanced diet;avoid inflammatory foods;maintain healthy weight","Physical therapy;joint protection;medical management"
"Muscle Pain","muscle pain;muscle ache;body ache;myalgia;sore muscles","Generalized muscle discomfort after overexertion or mild strain.","Iodex;Moov;Paracetamol;hot compress","Consult if pain is severe or localized to specific area","Protein rich foods;magnesium;electrolytes","Rest;gentle stretching;warm baths;proper hydration","Persistent muscle pain affecting movement and daily activities.","Muscle relaxants;Ibuprofen;Diclofenac gel","Medical attention if with weakness or numbness","Potassium rich foods;bananas;sweet potatoes;nuts","Massage;physiotherapy;proper warm-up before exercise","Severe muscle pain with swelling;bruising or fever.","Prescription painkillers;anti-inflammatories;trigger point injections","Emergency for trauma or compartment syndrome","Anti-inflammatory diet;adequate protein;hydration","Rest;medical evaluation;rehabilitation exercises"
"Constipation","constipation;hard stool;difficulty passing stool;irregular bowels;kabz","Occasional difficulty in bowel movements with hard stools.","Cremaffin;Duphalac;Isabgol;Triphala","Consult if constipation persists beyond 1 week or with pain","High fiber foods;prunes;pears;whole grains","Regular exercise;adequate water;don't ignore urge","Persistent constipation with bloating and discomfort.","Lactulose;PEG solutions;glycerin suppositories","Gastroenterologist for chronic constipation","Fiber rich diet;flaxseeds;chia seeds;beans","Toilet posture;regular timing;abdominal massage","Severe constipation with abdominal pain or vomiting.","Stronger laxatives;enemas;prescription medications","Emergency for severe pain or inability to pass gas","Liquid diet initially;fiber gradually increased","Medical supervision;underlying cause investigation"
"Nausea","nausea;feeling sick;queasy stomach;want to vomit;motion sickness","Mild feeling of sickness that may pass with simple measures.","Emetrol;Domstal;ginger capsules","Consult if nausea persists beyond 24 hours or with vomiting","Ginger tea;crackers;cold foods;mint","Fresh air;small frequent meals;avoid strong smells","Persistent nausea affecting appetite and daily activities.","Ondansetron;Doxinate;anti-emetics","Medical evaluation if with other symptoms","BRAT diet;clear soups;carbonated drinks;lemon","Rest;acupressure bands;distraction techniques","Severe nausea with repeated vomiting and inability to keep liquids down.","Prescription anti-emetics;IV fluids;hospital care","Emergency for dehydration or severe abdominal pain","Only clear liquids;ice chips;avoid solid foods","Complete rest;medical monitoring;hydration focus"
"Bronchitis","bronchitis;chest cold;chest congestion;wet cough;chest infection","Mild chest congestion with productive cough and discomfort.","Ascoril;Mucinex;steam inhalation","Consult if cough persists beyond 3 weeks or with fever","Warm fluids;honey;garlic;turmeric milk","Rest;humidifier;avoid irritants;chest physiotherapy","Persistent bronchitis with significant mucus production and chest tightness.","Antibiotics if bacterial;bronchodilators;expectorants","Pulmonologist for recurrent or severe cases","Vitamin C rich foods;zinc;chicken soup;ginger","Chest percussion;breathing exercises;smoking cessation","Severe bronchitis with breathing difficulty and high fever.","Stronger medications;nebulization;hospital care","Emergency for blue lips or severe breathing problems","Nutrient-rich soft foods;plenty of warm fluids","Complete rest;oxygen therapy if needed;medical supervision"
"Sinusitis","sinusitis;sinus infection;sinus pressure;facial pain;nasal congestion","Mild sinus pressure and nasal congestion that may resolve.","Steam inhalation;Sinarest;nasal saline spray","Consult if symptoms last beyond 10 days or worsen","Warm fluids;spicy foods;garlic;horseradish","Warm compresses;proper nasal hygiene;elevate head","Persistent sinusitis with facial pain;headache and thick discharge.","Antibiotics if bacterial;decongestants;steroid sprays","ENT specialist for chronic or recurrent sinusitis","Vitamin A and C foods;pineapple;onions;peppers","Nasal irrigation;avoid allergens;humidifier use","Severe sinusitis with high fever;severe headache or vision changes.","Strong antibiotics;oral steroids;surgical evaluation","Emergency for severe pain or neurological symptoms","Anti-inflammatory diet;avoid dairy if increases mucus","Medical management;possible sinus drainage procedures"
"Eczema","eczema;atopic dermatitis;skin inflammation;dry itchy skin;skin rash","Mild dry itchy patches on skin that come and go.","Moisturizers;Cetaphil;hydrocortisone cream","Consult if rash spreads or becomes infected","Anti-inflammatory foods;omega-3;probiotics","Avoid triggers;moisturize regularly;cotton clothes","Moderate eczema with significant itching and redness affecting daily life.","Prescription creams;antihistamines;tar preparations","Dermatologist for persistent or severe eczema","Zinc rich foods;evening primrose oil;vitamin E","Bleach baths;wet wrap therapy;stress management","Severe eczema with widespread involvement;infection or sleep disturbance.","Immunosuppressants;phototherapy;biologics","Specialist care for treatment-resistant cases","Elimination diet;identify food triggers;balanced nutrition","Intensive skin care;environmental control;medical follow-up"
"Anxiety","anxiety;nervousness;worry;panic;feeling anxious;restlessness","Mild anxiety in specific situations that is manageable.","Brahmi;Ashwagandha;deep breathing","Consult if anxiety affects daily functioning","Complex carbohydrates;chamomile tea;dark chocolate","Meditation;exercise;time management;social support","Persistent anxiety affecting work;relationships and quality of life.","Anxiolytics if prescribed;therapy;relaxation techniques","Psychologist for cognitive behavioral therapy","Magnesium rich foods;green tea;turmeric milk","Regular routine;stress management;avoid caffeine","Severe anxiety with panic attacks;avoidance behavior or depression.","Prescription medications;intensive therapy","Psychiatrist for medication management","Balanced regular meals;avoid alcohol;stimulants","Therapy;support groups;lifestyle modifications"
"Irregular Periods","irregular periods;missed periods;late periods;unpredictable cycles","Occasional variation in menstrual cycle that may be normal.","Cycloset;hormonal supplements after diagnosis","Consult if irregular for 3+ cycles or severe symptoms","Iron-rich foods;leafy greens;nuts;seeds","Regular exercise;stress reduction;healthy weight","Persistent irregular cycles with unpredictable timing and flow.","Hormonal contraceptives;Metformin if PCOS","Gynecologist for proper diagnosis and treatment","Soy products;flaxseeds;vitamin B rich foods","Cycle tracking;weight management;sleep hygiene","Severe menstrual irregularities with other symptoms suggesting hormonal imbalance.","Stronger hormonal treatments;fertility drugs","Endocrinologist for complex cases","Balanced diet;avoid extreme dieting;proper nutrition","Comprehensive medical evaluation;lifestyle changes"
"PCOS Symptoms","PCOS;irregular periods;excess hair;acne;weight gain;infertility","Mild symptoms of hormonal imbalance like occasional acne or weight issues.","Metformin;Myo-inositol;birth control pills","Consult for proper diagnosis and management","Low glycemic foods;protein;fiber;anti-inflammatory","Regular exercise;weight management;stress reduction","Moderate PCOS symptoms affecting menstrual regularity and appearance.","Spironolactone;clomiphene;hormonal therapy","Endocrinologist for comprehensive management","Cinnamon;fenugreek;leafy greens;berries","Consistent routine;cardio exercise;sleep quality","Severe PCOS with metabolic issues;infertility or psychological impact.","Advanced fertility treatments;medications","Multidisciplinary care team needed","Specific dietary plans;medical nutrition therapy","Lifestyle intervention;medical monitoring;support groups"
"Viral Fever","viral fever;viral infection;fever with body ache;seasonal fever","Mild viral infection with fever and general body discomfort.","Paracetamol;Dolo 650;Crocin","Consult if fever exceeds 102°F or lasts beyond 5 days","Plenty of fluids;electrolytes;light soups","Rest;isolation;symptomatic care;monitor temperature","Moderate viral fever with significant body ache and weakness.","Ibuprofen for pain;antipyretics;vitamin C","Medical attention if symptoms worsen or new symptoms appear","Vitamin C rich foods;zinc;chicken soup;herbal teas","Adequate rest;hydration;fever management","Severe viral fever with high temperature;dehydration or complications.","Prescription medications;IV fluids if needed","Emergency for confusion;severe headache or breathing difficulty","Liquid diet;easily digestible foods;avoid heavy meals","Complete bed rest;medical supervision;infection control"
"Heat Stroke","heat stroke;heat exhaustion;sun stroke;overheating;dehydration","Mild heat-related symptoms from excessive sun exposure.","ORS;electrolytes;cool water sponging","Consult immediately for proper assessment","Cool fluids;watermelon;cucumber;buttermilk","Move to cool place;loose clothing;rest","Moderate heat illness with elevated temperature and dehydration.","IV fluids;cooling measures;medical monitoring","Emergency care for high body temperature","Electrolyte drinks;water-rich fruits;coconut water","Cool compresses;fan;remove excess clothing","Severe heat stroke with confusion;seizures or unconsciousness.","Hospital care;aggressive cooling;monitoring","Life-threatening emergency requiring ICU care","Nothing by mouth if unconscious;IV nutrition","Critical care management;temperature control"
"Dehydration","dehydration;fluid loss;dry mouth;thirst;reduced urination","Mild dehydration from inadequate fluid intake or mild losses.","Electral ORS;ORS solution;water","Consult if symptoms persist despite rehydration","Water;ORS;coconut water;buttermilk;fruits","Frequent small sips;rest;cool environment","Moderate dehydration with significant thirst and reduced urine output.","IV fluids if unable to drink;oral rehydration","Medical attention if with vomiting or diarrhea","Electrolyte solutions;watermelon;cucumber","Monitor urine color;avoid diuretics;rest","Severe dehydration with dizziness;rapid heartbeat or confusion.","Emergency IV fluids;hospital care","Emergency for inability to drink or altered mental state","Only medical rehydration solutions initially","Hospitalization;close monitoring;underlying cause treatment"
"Motion Sickness","motion sickness;travel sickness;car sick;nausea while traveling","Mild nausea and discomfort during travel that resolves after stopping.","Dramamine;Avomine;ginger tablets","Consult if symptoms are severe or persistent","Ginger candies;crackers;light meals before travel","Look at horizon;fresh air;avoid reading in vehicle","Moderate motion sickness affecting travel enjoyment and causing vomiting.","Prescription patches;scopolamine;anti-emetics","Medical advice for frequent severe symptoms","Small dry snacks;avoid heavy;greasy foods","Front seat in car;middle of boat;window seat","Severe motion sickness with repeated vomiting and inability to travel.","Stronger medications;combination therapy","Specialist for severe cases affecting daily life","Fasting before travel;clear liquids only","Travel adaptation;desensitization therapy"
"Sunburn","sunburn;skin burn;sun damage;red skin;painful skin","Mild redness and warmth on sun-exposed skin areas.","Aloe vera gel;calamine lotion;Paracetamol for pain","Consult if severe blistering or with fever","Cooling foods;cucumber;watermelon;coconut water","Cool compresses;loose clothing;avoid sun exposure","Moderate sunburn with significant pain;redness and peeling.","Hydrocortisone cream;anti-inflammatories;moisturizers","Medical attention for large blisters or infection","Antioxidant rich foods;vitamin E;green tea","Cool baths;moisturize;protect from further sun","Severe sunburn with extensive blistering;fever or dehydration.","Prescription creams;pain management;wound care","Emergency for severe pain or systemic symptoms","Hydrating foods;avoid alcohol;caffeine","Medical care;infection prevention;pain management"
"Dry Skin","dry skin;flaky skin;rough skin;skin dryness;winter itch","Mild skin dryness that improves with basic moisturizing.","Petroleum jelly;Cetaphil;moisturizing creams","Consult if cracking;bleeding or infection develops","Omega-3 foods;nuts;seeds;avocado;fatty fish","Short showers;mild soaps;humidifier;pat dry","Persistent dry skin with itching and flaking affecting comfort.","Urea cream;lactic acid;intensive moisturizers","Dermatologist for treatment-resistant dryness","Vitamin E rich foods;evening primrose oil;zinc","Avoid hot water;moisturize immediately after bathing","Severe dry skin with cracks;pain or secondary infection.","Prescription emollients;barrier creams;medicated oils","Specialist care for underlying skin conditions","Essential fatty acids;adequate hydration;balanced diet","Medical skin care routine;environmental modifications"
"Dry Eyes","dry eyes;gritty eyes;sandy feeling;eye dryness;burning eyes","Mild eye dryness and irritation from screen time or environment.","Artificial tears;lubricating eye drops;warm compresses","Consult if symptoms persist or vision affected","Omega-3 foods;fish;walnuts;chia seeds;vitamin A","Blink regularly;humidifier;screen breaks;proper lighting","Persistent dry eyes affecting comfort and visual clarity.","Preservative-free drops;gel drops;night ointments","Ophthalmologist for chronic dry eye management","Antioxidant rich foods;green leafy vegetables;berries","Warm compresses;lid hygiene;avoid direct air flow","Severe dry eyes with pain;light sensitivity or corneal damage.","Punctal plugs;prescription drops;anti-inflammatories","Specialist care for severe or autoimmune-related","Anti-inflammatory diet;adequate hydration;nutrition","Comprehensive eye care;environmental adjustments"
"Eye Infection","eye infection;red eyes;sticky eyes;eye discharge;pink eye","Mild eye redness with minimal discharge that may be viral.","Tobramycin drops;warm compresses;eye hygiene","Consult immediately for proper diagnosis and treatment","Vitamin C rich foods;zinc;carrots;leafy greens","Frequent hand washing;avoid touching eyes;separate towels","Moderate eye infection with significant discharge and discomfort.","Antibiotic drops;oral antibiotics if bacterial","Ophthalmologist for proper treatment","Immune boosting foods;garlic;turmeric;berries","Warm compresses;avoid contact lenses;good hygiene","Severe eye infection with pain;vision changes or systemic symptoms.","Strong antibiotics;combination therapy;hospital care","Emergency for severe pain or vision loss","Light easily digestible foods;avoid spicy foods","Medical supervision;isolation if contagious;follow-up"
"Toothache","toothache;dental pain;tooth pain;gum pain;dental cavity","Mild tooth sensitivity or discomfort that comes and goes.","Clove oil;Orajel;Ibuprofen for pain","Consult dentist within 24-48 hours for evaluation","Soft foods;cool foods;avoid sweets;calcium rich","Salt water rinses;cold compress;proper oral hygiene","Persistent toothache affecting eating and sleeping.","Stronger painkillers;antibiotics if infected","Dentist appointment as soon as possible","Lukewarm foods;avoid extreme temperatures;yogurt","Avoid chewing on affected side;gentle brushing","Severe toothache with swelling;fever or difficulty opening mouth.","Prescription pain medications;emergency dental care","Emergency dental care for severe symptoms","Liquid diet;nutritional supplements if needed","Immediate dental treatment;possible extraction"
"Ear Pain","ear pain;earache;ear infection;otalgia;ear discomfort","Mild ear discomfort that may be due to pressure changes or mild infection.","Warm compresses;Paracetamol;ear drops","Consult if pain persists beyond 24 hours or with fever","Warm fluids;soft foods;avoid chewing hard","Keep ear dry;avoid inserting objects;rest","Persistent ear pain with hearing changes or discharge.","Antibiotic ear drops;oral antibiotics;decongestants","ENT specialist for proper diagnosis","Immune boosting foods;vitamin C;zinc;garlic","Sleep with head elevated;avoid air travel","Severe ear pain with high fever;hearing loss or dizziness.","Strong antibiotics;pain injections;myringotomy","Emergency for severe symptoms or facial weakness","Easy to swallow foods;avoid hard;crunchy foods","Medical management;possible surgical intervention"
"Neck Pain","neck pain;stiff neck;cervical pain;neck strain;wry neck","Mild neck stiffness or discomfort from poor posture or minor strain.","Iodex balm;Volini spray;hot pack","Consult if pain radiates to arms or lasts over 1 week","Anti-inflammatory foods;turmeric;ginger;fish oil","Neck stretches;proper pillow;good posture","Persistent neck pain affecting movement and daily activities.","Muscle relaxants;NSAIDs;physiotherapy","Orthopedic consultation for chronic pain","Calcium rich foods;vitamin D;magnesium","Ergonomic workstation;neck exercises;stress management","Severe neck pain with numbness;weakness or after trauma.","Prescription medications;injections;surgery evaluation","Emergency for trauma or neurological symptoms","Balanced diet;avoid inflammatory foods;hydration","Medical management;physical therapy;lifestyle changes"
"Gas","gas;flatulence;bloating;abdominal gas;passing gas;pet mein gas","Mild gas and bloating after eating certain foods.","Gas-O-Fast;Digene;ENO;activated charcoal","Consult if severe pain;vomiting or lasts weeks","Fennel seeds;ginger;peppermint;probiotic foods","Regular exercise;small meals;avoid carbonated drinks","Persistent gas problems with significant discomfort and embarrassment.","Simethicone;antacids;digestive enzymes","Gastroenterologist for chronic symptoms","High fiber foods;yogurt;papaya;whole grains","Food diary;stress management;proper chewing","Severe gas with intense pain;weight loss or other symptoms.","Prescription medications;investigation for underlying cause","Medical evaluation for possible IBS or other conditions","Elimination diet;identify trigger foods;balanced nutrition","Lifestyle modifications;medical treatment if needed"
"Bloating","bloating;abdominal bloating;stomach fullness;distension","Mild abdominal fullness after meals that resolves spontaneously.","Digene;Gas-O-Fast;peppermint oil","Consult if persistent;painful or with other symptoms","Small frequent meals;ginger;fennel;pineapple","Avoid overeating;regular exercise;proper hydration","Persistent bloating affecting comfort and clothing fit.","Simethicone;probiotics;digestive enzymes","Medical evaluation to rule out underlying conditions","Low FODMAP foods;fermented foods;fiber gradually","Food diary;stress reduction;mindful eating","Severe bloating with pain;weight loss or bowel changes.","Prescription medications;diagnostic tests","Gastroenterologist for comprehensive evaluation","Specific carbohydrate diet;avoid gas-producing foods","Medical management;dietary counseling;lifestyle changes"
"Hangover","hangover;after alcohol;headache nausea;alcohol effects","Mild hangover symptoms after moderate alcohol consumption.","Paracetamol;ORS;antacids","Consult if severe symptoms or alcohol poisoning suspected","ORS;banana;toast;coconut water;fruit juice","Rest;hydration;cool shower;fresh air","Moderate hangover with significant headache and nausea.","Dolo 650;Eno;vitamin B complex","Medical attention if severe vomiting or confusion","Electrolyte drinks;ginger tea;broths;eggs","Avoid more alcohol;gentle walk;proper sleep","Severe hangover with vomiting;dehydration or altered consciousness.","IV fluids;prescription anti-emetics;hospital care","Emergency for alcohol poisoning symptoms","Liquid diet initially;bland foods when able","Medical supervision;alcohol cessation education"
"Jet Lag","jet lag;travel fatigue;time zone change;circadian disruption","Mild fatigue and sleep disturbance after long-distance travel.","Melatonin;multivitamins;hydration","Consult if symptoms persist beyond 1 week","Light meals;hydration;avoid heavy foods","Gradual adjustment;sunlight exposure;proper sleep timing","Moderate jet lag affecting sleep and daytime alertness significantly.","Prescription sleep aids;melatonin supplements","Medical advice for frequent travelers or severe symptoms","Protein rich foods;complex carbs;herbal teas","Nap management;exercise;avoid caffeine/alcohol","Severe jet lag with complete sleep-wake cycle disruption and impairment.","Stronger sleep medications;professional guidance","Specialist consultation for chronic travel-related issues","Timed meals according to destination;balanced nutrition","Comprehensive sleep schedule adjustment;medical support"
"Dizziness","dizziness;vertigo;lightheaded;unsteady;feeling faint;room spinning","Occasional lightheadedness that resolves quickly with rest.","Stemetil;Vertin;ginger capsules","Consult if frequent or with hearing loss","Small frequent meals;ginger;almonds;fluids","Rise slowly;avoid sudden movements;adequate rest","Recurrent dizziness affecting balance and daily activities.","Betahistine;Cinnarizine;vestibular exercises","ENT specialist for persistent vertigo","Iron-rich foods;vitamin B complex;stay hydrated","Safety measures;assistive devices;stress management","Severe vertigo with vomiting;hearing changes or neurological symptoms.","Prescription medications;vestibular rehabilitation","Emergency for stroke symptoms or severe imbalance","Light bland foods;avoid caffeine;alcohol","Medical supervision;vestibular therapy;lifestyle adjustments"
"Body Ache","body ache;muscle pain;body pain;generalized pain;myalgia","Generalized muscle discomfort often with viral infections or overexertion.","Paracetamol;Ibuprofen;hot compress","Consult if persistent or with fever","Anti-inflammatory foods;turmeric;cherries;pineapple","Rest;warm baths;gentle stretching;proper hydration","Widespread body pain affecting mobility and daily functioning.","Combiflam;Muscle relaxants;multivitamins","Medical evaluation if with other concerning symptoms","Magnesium rich foods;potassium;protein","Heat therapy;massage;stress reduction;sleep hygiene","Severe debilitating body pain with fever;rash or joint swelling.","Prescription pain medications;anti-inflammatories","Emergency for severe symptoms or inability to move","Nutrient-dense foods;hydration;balanced diet","Complete medical evaluation;rest;physical therapy"
